"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"426",177,"112",15,5,"ao","Ellingerode","Witzenhausen","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",557018.552653699,5686796.64019468,"detected"
"427",179,"112",15,6,"ao","Nieste","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",546765.565797562,5684901.96968281,"detected"
"428",180,"112",15,22,"bu","Wickenrode","Witzenhausen","Hessen-Nassau",NA,"j",NA,"j",NA,"detected","","",550876.215205773,5678757.46499644,"detected"
"429",183,"112",16,8,"bl","Oberrieden","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,"detected","","",564599.658237081,5684595.5893409,"detected"
"430",184,"112",16,11,"ab","Hundelshausen","Witzenhausen","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",559122.239399642,5682627.46882723,"detected"
"431",186,"112",16,22,"cl","Dudenrode","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,"detected","","",560758.551774417,5678720.4952916,"detected"
"432",196,"112",19,7,"dl","Besse","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",526942.930903386,5674405.37970654,"detected"
"433",197,"112",19,10,"a","Dörnhagen","Kassel","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",534606.145195591,5675163.0848154,"detected"
"434",198,"112",19,19,"cu","Wolfershausen","Melsungen","Hessen-Nassau",NA,"j","j",NA,NA,"detected","","",531019.749175897,5670068.92936276,"detected"
"435",199,"112",19,19,"d","Ellenberg","Melsungen","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",532548.206153015,5670434.25607098,"detected"
"436",200,"112",20,3,"cl","Wellerode","Kassel","Hessen-Nassau","j","j","j","j",NA,"detected","","",539706.153991387,5676656.91287568,"detected"
"437",201,"112",20,10,"ab","Eschenstruth","Kassel","Hessen-Nassau",NA,NA,"j",NA,NA,"detected","","",546356.58524867,5675400.36290147,"detected"
"438",203,"112",21,8,"bo","Rommerode","Witzenhausen","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",553557.527156014,5675937.58833728,"detected"
"439",204,"112",21,17,"bl","Hessisch Lichtenau","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,"detected","","",550239.670798968,5671777.88740945,"detected"
"440",205,"112",21,25,"a","Küchen","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,"detected","","",557130.848289496,5669814.6021424,"detected"
"441",206,"112",22,9,"d","Wellingerode","Eschwege","Hessen-Nassau","j","j","j",NA,NA,"detected","","",567518.69022618,5674678.6683101,"detected"
