,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
1145,151,16,19,cu,Ober-Kinzig,Erbach,Hessen,j,j,j,j,"Eigentlich Ober-Kinzig, auf dem Zettel aber als Oberkinzig vermerkt",not detected,Oberkinzig,
1146,151,16,25,bu,Etzen-Gesäß ,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Etzen-Gesäß,Bad König
1148,151,17,2,cu,Neustadt ,Erbach,Hessen,j,j,j,NA,NA,not detected,Neustadt,Breuberg
1157,151,18,16,ar,Klingenberg am Main,BA. Obernburg,RegBez. Unterfranken (Bayern),j,j,j,j,NA,not detected,Klingenberg,
1158,151,19,5,cu,Klein-Rohrheim,Groß Gerau,Hessen,j,j,j,j,NA,not detected,Klein-Rohrhein,
1163,151,20,7,cu,Langwaden ,Bensheim,Hessen,j,j,j,j,NA,not detected,Langwaden,Bensheim
1175,151,21,17,bl,Knoden ,Bensheim,Hessen,NA,j,j,j,NA,not detected,Knoden,Lautertal
1180,151,22,1,b,Fränkisch-Crumbach,Dieburg,Hessen,j,j,j,NA,NA,not detected,Fränkisch Crumbach,
1181,151,22,2,du,Ober-Kainsbach,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Ober Kainsbach,
1182,151,22,9,c,Langen-Brombach,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Langen Brombach,
1183,151,22,11,a,Reichelsheim ,Friedberg,Hessen,NA,j,NA,NA,NA,not detected,Reichelsheim,Wetterau
1188,151,22,23,bu,Ober-Mossau,Erbach,Hessen,j,NA,NA,NA,NA,not detected,Ober Mossau,
1189,151,23,1,co,Bad König,Erbach,Hessen,j,j,j,j,NA,not detected,König,
1191,151,23,12,c,Weiten-Gesäß ,Erbach,Hessen,j,j,j,j,NA,not detected,Weiten-Gesäß,Michelstadt
1199,151,25,21,d,Bobenheim-Roxheim,BA. Frankenthal,RegBez. Pfalz (Bayern),j,j,j,j,"Eigentlich Bobenheim, ist auf dem Zettel aber als Babenheim vermerkt",not detected,Babenheim,
1209,151,27,12,b,Albersbach ,Heppenheim,Hessen,j,NA,NA,NA,NA,not detected,Albersbach,Rimbach
1210,151,27,16,a,Ober-Laudenbach,Heppenheim,Hessen,j,j,j,j,NA,not detected,Ober Laudenbach,
1211,151,27,18,d,Zotzenbach ,Heppenheim,Hessen,NA,NA,NA,j,NA,not detected,Zotzenbach,Rimbach
1212,151,27,20,a,Ober-Scharbach,Heppenheim,Hessen,j,j,NA,NA,NA,not detected,Ober Scharbach,
